depth,latitude,longitude,time,thetao
0.494025,20,107,15/05/2008,25.954985
0.494025,20,107,16/05/2008,26.19303
0.494025,20,107,17/05/2008,26.184973
0.494025,20,107,18/05/2008,26.304361
0.494025,20,107,19/05/2008,26.243568
0.494025,20,107,20/05/2008,26.153477
0.494025,20,107,21/05/2008,26.641285
0.494025,20,107,22/05/2008,26.644947
0.494025,20,107,23/05/2008,26.979675
0.494025,20,107,24/05/2008,27.23603
0.494025,20,107,25/05/2008,27.48433
0.494025,20,107,26/05/2008,27.709188
0.494025,20,107,27/05/2008,27.825647
0.494025,20,107,28/05/2008,27.884975
0.494025,20,107,29/05/2008,28.038788
0.494025,20,107,30/05/2008,28.4409
0.494025,20,107,31/05/2008,28.335428
0.494025,20,107,1/06/2008,28.520004
0.494025,20,107,2/06/2008,28.406475
0.494025,20,107,3/06/2008,28.37498
0.494025,20,107,4/06/2008,28.489975
0.494025,20,107,5/06/2008,28.34129
0.494025,20,107,6/06/2008,28.187475
0.494025,20,107,7/06/2008,28.21238
0.494025,20,107,8/06/2008,28.361065
0.494025,20,107,9/06/2008,28.426252
0.494025,20,107,10/06/2008,28.582262
0.494025,20,107,11/06/2008,28.761711
0.494025,20,107,12/06/2008,28.781487
0.494025,20,107,13/06/2008,28.66503
0.494025,20,107,14/06/2008,28.657703
0.494025,20,107,15/06/2008,28.645985
0.494025,20,107,16/06/2008,28.606434
0.494025,20,107,17/06/2008,28.69872
0.494025,20,107,18/06/2008,28.747063
0.494025,20,107,19/06/2008,28.77929
0.494025,20,107,20/06/2008,28.807123
0.494025,20,107,21/06/2008,28.980713
0.494025,20,107,22/06/2008,29.257576
0.494025,20,107,23/06/2008,29.554949
0.494025,20,107,24/06/2008,30.115269
0.494025,20,107,25/06/2008,29.890408
0.494025,20,107,26/06/2008,29.865505
0.494025,20,107,27/06/2008,29.858181
0.494025,20,107,28/06/2008,29.876492
0.494025,20,107,29/06/2008,29.732933
0.494025,20,107,30/06/2008,29.606953
0.494025,20,107,1/07/2008,29.487564
0.494025,20,107,2/07/2008,29.387218
0.494025,20,107,3/07/2008,29.373302
0.494025,20,107,4/07/2008,29.422377
0.494025,20,107,5/07/2008,29.49855
0.494025,20,107,6/07/2008,29.724876
0.494025,20,107,7/07/2008,29.661884
0.494025,20,107,8/07/2008,29.393078
0.494025,20,107,9/07/2008,29.317636
0.494025,20,107,10/07/2008,29.229744
0.494025,20,107,11/07/2008,29.184332
0.494025,20,107,12/07/2008,29.24366
0.494025,20,107,13/07/2008,29.275154
0.494025,20,107,14/07/2008,29.206306
0.494025,20,107,15/07/2008,29.2378
0.494025,20,107,16/07/2008,29.313974
0.494025,20,107,17/07/2008,29.339611
0.494025,20,107,18/07/2008,29.270027
0.494025,20,107,19/07/2008,29.26783
0.494025,20,107,20/07/2008,29.253914
0.494025,20,107,21/07/2008,29.221687
0.494025,20,107,22/07/2008,29.14478
0.494025,20,107,23/07/2008,29.16602
0.494025,20,107,24/07/2008,29.201178
0.494025,20,107,25/07/2008,29.209969
0.494025,20,107,26/07/2008,29.494156
0.494025,20,107,27/07/2008,29.796654
0.494025,20,107,28/07/2008,29.642841
0.494025,20,107,29/07/2008,29.66042
0.494025,20,107,30/07/2008,29.645039
0.494025,20,107,31/07/2008,29.562273
0.494025,20,107,1/08/2008,29.57326
0.494025,20,107,2/08/2008,29.604755
0.494025,20,107,3/08/2008,30.002472
0.494025,20,107,4/08/2008,29.962921
0.494025,20,107,5/08/2008,30.006866
0.494025,20,107,6/08/2008,29.817163
0.494025,20,107,7/08/2008,29.494888
0.494025,20,107,8/08/2008,29.393078
0.494025,20,107,9/08/2008,29.285408
0.494025,20,107,10/08/2008,29.177008
0.494025,20,107,11/08/2008,29.174078
0.494025,20,107,12/08/2008,29.158695
0.494025,20,107,13/08/2008,29.33302
0.494025,20,107,14/08/2008,29.434095
0.494025,20,107,15/08/2008,29.546158
0.494025,20,107,16/08/2008,29.647236
0.494025,20,107,17/08/2008,29.817163
0.494025,20,107,18/08/2008,29.950468
0.494025,20,107,19/08/2008,29.973175
0.494025,20,107,20/08/2008,30.036163
0.494025,20,107,21/08/2008,30.252235
0.494025,20,107,22/08/2008,30.135044
0.494025,20,107,23/08/2008,30.000275
0.494025,20,107,24/08/2008,30.039093
0.494025,20,107,25/08/2008,29.959991
0.494025,20,107,26/08/2008,29.869167
0.494025,20,107,27/08/2008,29.778343
0.494025,20,107,28/08/2008,29.76809
0.494025,20,107,29/08/2008,29.761497
0.494025,20,107,30/08/2008,29.88528
0.494025,20,107,31/08/2008,30.107212
0.494025,20,107,1/09/2008,30.022247
0.494025,20,107,2/09/2008,30.0618
0.494025,20,107,3/09/2008,30.091831
0.494025,20,107,4/09/2008,30.119663
0.494025,20,107,5/09/2008,30.09476
0.494025,20,107,6/09/2008,30.021515
0.494025,20,107,7/09/2008,29.928495
0.494025,20,107,8/09/2008,29.828884
0.494025,20,107,9/09/2008,29.776878
0.494025,20,107,10/09/2008,29.610615
0.494025,20,107,11/09/2008,29.476578
0.494025,20,107,12/09/2008,29.524185
0.494025,20,107,13/09/2008,29.670673
0.494025,20,107,14/09/2008,29.678732
0.494025,20,107,15/09/2008,29.556414
0.494025,20,107,16/09/2008,29.916775
